"","Distrito","Dirección","Tipo de Inmueble","Descripción","Habitaciones Disponibles","Precio Mensual","Notas","driving.time","driving.metros","walking.time","walking.metros"
"87","Ostiense / Marconi","Via Luigi Biolchini","Appartamento","Ingresso, 3 camere, cucina, 1 bagno","2 singole","€ 475 € 450; condominio, acqua, riscaldamento, tassa rifiuti, internet inclusi","dosponibile per ragazze Metro B Marconi","2101","41649","8257","10999"
"88","Ostiense / Marconi","Via Guido Castelnuovo","Appartamento","Ingresso, 2 camere, cucina, 1 bagno","1 singola; 1 doppia","€ 450; € 300 posto letto; condominio, acqua, riscaldamento, tassa rifiuti inclusi","dosponibile per ragazzi/ragazze Metro B Marconi","2086","18231","8634","11516"
"89","Parioli","Viale Bruno Buozzi","Appartamento","3 camere, bagno, cucina, aria condizionata, internet","1 singola","€ 550; spese escluse","Disponibile per ragazze Autobus e Tram","886","8867","3905","5352"
"90","Ponte Milvio","Via Bernardino Molinari","Monolocale","Ingresso, camera, cucina/living, bagno, terrazzo","monolocale","€ 700 condominio e acqua inclusi","disponibile per ragazze","952","12444","6916","9270"
"91","Portuense","Via Portuense 471 Int. 10","Appartamento","Ingresso, 3 camere, cucina abitabile, bagno","3 singole","€ 450; Condominio, acqua, internet e tassa rifiuti inclusi","disponibile per ragazzi/ragazze Autobus 128 - 710 - 775 - n. 2 Stazione Trastevere","1995","41795","9190","12350"
"92","Portuense","Via Portuense 471 Int. 14","Appartamento","Ingresso/living, 2 camer, cucna, bagno, terrazzo","2 singole","€ 500; condominio,acqua, internet e tassa rifiuti inclusi","disponibile per ragazzi/ragazze Autobus 23 - 769 - 128 - 710 - 775 – n. 2 Stazione Trastevere","1995","41795","9190","12350"
"93","Prati","Viale Giulio Cesare","Appartamento","Ingresso, cucina, 2 camere, bagno","2 singole","€ 500; € 600; TUTTO INCLUSO","disponibile per ragazzi/ragazze Metro A Ottaviano APT DA CONDIVIDERE CON PROPRIETARIO","1294","12788","5811","7812"
"94","Prati","Via Giordano Bruno","Appartamento","Ingresso, 2 camere, cucina, bagno","Intero appartamento","€ 900; condominio, acqua e riscaldamento inclusi","Disponibile dal 1° Marzo per ragazzi/ragazze Metro A Ottaviano","21278","630888","493181","653876"
"95","Prati","Via Paolo Emilio","Appartamento","Ingresso, cucina, 4 camere, 2 bagni","1 singola","€ 530; spese escluse","Disponibile dal 1° Marzo per ragazze Metro A Ottaviano/Lepanto","1324","13053","5818","7794"
"96","Prati","Viale Angelico","Appartamento","Ingresso, 4 camere, soggiorno, cucina, bagno","1 singola","€ 530; spese escluse","disponibile per ragazze Metro A Ottaviano/Lepanto","1020","11805","5669","7603"
"97","Prati","Via San Tommaso d'Aquino","Appartamento","Ingresso, cucina, 3 camere, 2 bagni","1 singola","€ 500; spese escluse","disponibile per ragazze Metro A Cipro","1217","12929","6406","8613"
"98","Prati","Via Ottaviano","Appartamento","Ingresso, cucina/living, 3 camere, 3 bagni","1 singola","€ 650 TUTTO INCLUSO","disponibile per ragazzi/ragazze Metro A Ottaviano","1246","12869","6146","8242"
"99","Prati","Via Marcantonio Colonna","Appartamento","Ingresso, cucina, 3 camere, bagno","2 singole","€ 600; € 550; spese escluse","disponibili dal 1° Marzo e dal 1° Aprile per ragazze Metro A Lepanto","1269","11292","5591","7477"
"100","Prati","Via Cola di Rienzo","Appartamento","Ingresso, cucina, salone, 3 camere, 2 bagni","1 singola","€ 600 TUTTO INCLUSO","disponibile per ragazze Metro A Ottaviano/Lepanto APT da condivedere con la proprietaria","1410","13258","5677","7561"
"101","Prati","Via Golametto","Appartamento","Ingresso, cucina, 4 camere, 2 bagni, terrazzo","1 singola","€ 550 TUTTO INCLUSO","disponibile per ragazze Autobus 23","1159","12401","6165","8253"
"102","San Pietro","Via Niccolo' III","Appartamento","Ingresso, corridoio,salottino, cucina 3 camere, bagno","1 singola","€ 480; condominio, acqua e riscaldamento inclusi","disponibile per ragazzi Stazione San Pietro Metro A Ottaviano","8940","241779","169409","220147"
"103","Testaccio","Via Amerigo Vespucci","Mini Appartamento","Mini Appartamento - sub ingresso in comune, ingresso autonomo, camera, cucina abitabile, bagno","intero appartamento","€ 950; spese escluse","disponibile dal 1° Marzo per ragazzi/ragazze Metro B Piramide","1810","16663","6922","9214"
